method,goal_type,horizon_steps,horizon_seconds,goal_update_period,episodes,success,success_ci_low,success_ci_high,final_reward,max_reward,teacher_action_mae,one_step_tcp_subgoal_error_m,high_level_decisions_per_episode,branch_generation_latency_s,replay_current_state_error_max
flat,flat,5,0.25,0,20,0.3,0.1454772448676043,0.5189728183535235,0.49586856588721273,0.5053300261497498,0.12725998583257866,,0.0,0.0,0.0
oracle_held_goal,tcp,5,0.25,1,20,0.6,0.3865815007622531,0.781193467627183,0.7303314551711082,0.7314067408442497,0.04206549614407438,0.05647090961305736,64.9,1.2672856689611216,0.0
oracle_held_goal,tcp,5,0.25,2,20,0.5,0.2992980081982123,0.7007019918017877,0.6621860086917877,0.6642994970083237,0.0367773920507932,0.04773739724713782,35.25,1.267665248559788,0.0
oracle_held_goal,tcp,5,0.25,5,20,0.5,0.2992980081982123,0.7007019918017877,0.6650697439908981,0.6659636497497559,0.038091246886676096,0.029813887263538348,14.1,1.2220198529510526,0.0
oracle_held_goal,tcp,5,0.25,10,20,0.15,0.052368745896216595,0.36041886474075696,0.39871800169348715,0.4034607715904713,0.1555580534538671,0.02860734560115414,9.95,1.2180088661960327,0.0
flat,flat,10,0.5,0,20,0.35,0.18119182410108206,0.5671457233147638,0.5217645414173603,0.5321965694427491,0.16471164556545617,,0.0,0.0,0.0
oracle_held_goal,tcp,10,0.5,1,20,0.55,0.34208534245034233,0.7418021417443759,0.6946797356009483,0.6969061702489853,0.04717749089195491,0.09397048691686423,66.15,1.3483361266629073,0.0
oracle_held_goal,tcp,10,0.5,2,20,0.55,0.34208534245034233,0.7418021417443759,0.6949076652526855,0.6976623296737671,0.047802012889275956,0.08895940729871654,33.85,1.366547013776144,0.0
oracle_held_goal,tcp,10,0.5,5,20,0.55,0.34208534245034233,0.7418021417443759,0.690006659924984,0.6982450187206268,0.05487410317723256,0.08263209078379825,13.45,1.3334926162060583,0.0
oracle_held_goal,tcp,10,0.5,10,20,0.75,0.531299122381256,0.8881382985923343,0.8253191068768502,0.8323658213019371,0.0486178722507084,0.0666154370182824,6.05,1.2891121306922286,0.0
